inicio,varinicio,varfim,escreva,leia,se,entao,fimse,fim,inteiro,literal,real,NUM,LIT,ID,$,OPR,ATR,OPA,AB_P,FC_P,PT_V,VIR
S-2,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,A-P'-P,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,S-4,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,S-11,S-10,S-14,E-000,E-000,S-9,E-000,E-000,E-000,E-000,E-000,S-12,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,S-17,E-000,E-000,E-000,E-000,E-000,E-000,S-19,S-21,S-20,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,R-P-inicio V A,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,S-11,S-10,S-14,E-000,E-000,S-9,E-000,E-000,E-000,E-000,E-000,S-12,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,S-11,S-10,S-14,E-000,E-000,S-9,E-000,E-000,E-000,E-000,E-000,S-12,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,S-11,S-10,S-14,E-000,E-000,S-9,E-000,E-000,E-000,E-000,E-000,S-12,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,R-A-fim,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,S-25,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,S-28,S-27,S-29,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,S-30,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,S-11,S-10,S-14,E-000,S-35,E-000,E-000,E-000,E-000,E-000,E-000,S-12,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,S-36,E-000,E-000,E-000
E-000,E-000,E-000,R-V-varinicio LV,R-V-varinicio LV,R-V-varinicio LV,E-000,E-000,R-V-varinicio LV,E-000,E-000,E-000,E-000,E-000,R-V-varinicio LV,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,S-17,E-000,E-000,E-000,E-000,E-000,E-000,S-19,S-21,S-20,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,S-39,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,S-37,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,R-TIPO-inteiro,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,R-TIPO-real,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,R-TIPO-literal,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,R-A-ES A,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,R-A-CMD A,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,R-A-COND A,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,S-41,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,S-42,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,R-ARG-LIT,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,R-ARG-NUM,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,R-ARG-ID,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,S-46,E-000,S-45,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,R-COND-CAB CP,R-COND-CAB CP,R-COND-CAB CP,E-000,R-COND-CAB CP,R-COND-CAB CP,E-000,E-000,E-000,E-000,E-000,R-COND-CAB CP,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,S-11,S-10,S-14,E-000,S-35,E-000,E-000,E-000,E-000,E-000,E-000,S-12,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,S-11,S-10,S-14,E-000,S-35,E-000,E-000,E-000,E-000,E-000,E-000,S-12,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,S-11,S-10,S-14,E-000,S-35,E-000,E-000,E-000,E-000,E-000,E-000,S-12,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,R-CP-fimse,R-CP-fimse,R-CP-fimse,E-000,R-CP-fimse,R-CP-fimse,E-000,E-000,E-000,E-000,E-000,R-CP-fimse,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,S-46,E-000,S-45,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,R-L-ID,S-52
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,S-53,E-000
E-000,E-000,E-000,R-LV-varfim PT_V,R-LV-varfim PT_V,R-LV-varfim PT_V,E-000,E-000,R-LV-varfim PT_V,E-000,E-000,E-000,E-000,E-000,R-LV-varfim PT_V,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,R-LV-D LV,R-LV-D LV,R-LV-D LV,E-000,E-000,R-LV-D LV,E-000,E-000,E-000,E-000,E-000,R-LV-D LV,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,R-ES-leia ID PT_V,R-ES-leia ID PT_V,R-ES-leia ID PT_V,E-000,R-ES-leia ID PT_V,R-ES-leia ID PT_V,E-000,E-000,E-000,E-000,E-000,R-ES-leia ID PT_V,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,R-ES-escreva ARG PT_V,R-ES-escreva ARG PT_V,R-ES-escreva ARG PT_V,E-000,R-ES-escreva ARG PT_V,R-ES-escreva ARG PT_V,E-000,E-000,E-000,E-000,E-000,R-ES-escreva ARG PT_V,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,S-54,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,S-55,E-000,E-000,R-LD-OPRD,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,R-OPRD-ID,E-000,R-OPRD-ID,E-000,R-OPRD-ID,R-OPRD-ID,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,R-OPRD-NUM,E-000,R-OPRD-NUM,E-000,R-OPRD-NUM,R-OPRD-NUM,E-000
E-000,E-000,E-000,R-CP-ES CP,R-CP-ES CP,R-CP-ES CP,E-000,R-CP-ES CP,R-CP-ES CP,E-000,E-000,E-000,E-000,E-000,R-CP-ES CP,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,R-CP-CMD CP,R-CP-CMD CP,R-CP-CMD CP,E-000,R-CP-CMD CP,R-CP-CMD CP,E-000,E-000,E-000,E-000,E-000,R-CP-CMD CP,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,R-CP-COND CP,R-CP-COND CP,R-CP-COND CP,E-000,R-CP-COND CP,R-CP-COND CP,E-000,E-000,E-000,E-000,E-000,R-CP-COND CP,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,S-57,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,S-56,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,S-37,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,R-D-TIPO L PT_V,E-000,E-000,E-000,E-000,E-000,E-000,R-D-TIPO L PT_V,R-D-TIPO L PT_V,R-D-TIPO L PT_V,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,R-CMD-ID ATR LD PT_V,R-CMD-ID ATR LD PT_V,R-CMD-ID ATR LD PT_V,E-000,R-CMD-ID ATR LD PT_V,R-CMD-ID ATR LD PT_V,E-000,E-000,E-000,E-000,E-000,R-CMD-ID ATR LD PT_V,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,S-46,E-000,S-45,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,S-46,E-000,S-45,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,S-60,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000
E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,E-000,R-LD-OPRD OPA OPRD,E-000
