inicio,varinicio,varfim,escreva,leia,se,entao,fimse,fim,inteiro,literal,real,NUM,LIT,ID,$,OPR,ATR,OPA,AB_P,FC_P,PT_V,VIR
S-2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,A-P'-P,,,,,,,
,S-4,,,,,,,,,,,,,,,,,,,,,
,,,S-11,S-10,S-14,,,S-9,,,,,,S-12,,,,,,,,
,,S-17,,,,,,,S-19,S-21,S-20,,,,,,,,,,,
,,,,,,,,,,,,,,,R-P-inicio V A,,,,,,,
,,,S-11,S-10,S-14,,,S-9,,,,,,S-12,,,,,,,,
,,,S-11,S-10,S-14,,,S-9,,,,,,S-12,,,,,,,,
,,,S-11,S-10,S-14,,,S-9,,,,,,S-12,,,,,,,,
,,,,,,,,,,,,,,,R-A-fim,,,,,,,
,,,,,,,,,,,,,,S-25,,,,,,,,
,,,,,,,,,,,,S-28,S-27,S-29,,,,,,,,
,,,,,,,,,,,,,,,,,S-30,,,,,
,,,S-11,S-10,S-14,,S-35,,,,,,,S-12,,,,,,,,
,,,,,,,,,,,,,,,,,,,S-36,,,
,,,R-V-varinicio LV,R-V-varinicio LV,R-V-varinicio LV,,,R-V-varinicio LV,,,,,,R-V-varinicio LV,,,,,,,,
,,S-17,,,,,,,S-19,S-21,S-20,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,S-39,
,,,,,,,,,,,,,,S-37,,,,,,,,
,,,,,,,,,,,,,,R-TIPO-inteiro,,,,,,,,
,,,,,,,,,,,,,,R-TIPO-real,,,,,,,,
,,,,,,,,,,,,,,R-TIPO-literal,,,,,,,,
,,,,,,,,,,,,,,,R-A-ES A,,,,,,,
,,,,,,,,,,,,,,,R-A-CMD A,,,,,,,
,,,,,,,,,,,,,,,R-A-COND A,,,,,,,
,,,,,,,,,,,,,,,,,,,,,S-41,
,,,,,,,,,,,,,,,,,,,,,S-42,
,,,,,,,,,,,,,,,,,,,,,R-ARG-LIT,
,,,,,,,,,,,,,,,,,,,,,R-ARG-NUM,
,,,,,,,,,,,,,,,,,,,,,R-ARG-ID,
,,,,,,,,,,,,S-46,,S-45,,,,,,,,
,,,R-COND-CAB CP,R-COND-CAB CP,R-COND-CAB CP,,R-COND-CAB CP,R-COND-CAB CP,,,,,,R-COND-CAB CP,,,,,,,,
,,,S-11,S-10,S-14,,S-35,,,,,,,S-12,,,,,,,,
,,,S-11,S-10,S-14,,S-35,,,,,,,S-12,,,,,,,,
